,title,company name,link,date listed,salary,job description,Partially visually impaired,Hearing Impaired,LV,HI,MPD,PD,CP
53,Customer Service Officer,KAY LIM CONSTRUCTION & TRADING PTE LTD,sg.indeed.com/rc/clk?jk=cf259e587673c1d8&fccid=957991a3ecaa7bd1&vjs=3,Posted4 days ago,"$2,500 - $4,000 a month","Representing employer to make a positive impression with house owners to ensure home owners satisfaction.
Advising home owners on the best products or services…",3.0,3.0,1,0,1,1,0
54,Site Supervisor,SHANGHAI TUNNEL ENGINEERING CO (SINGAPORE) PTE LTD,sg.indeed.com/rc/clk?jk=3835366de674009f&fccid=9493cad605335903&vjs=3,Posted4 days ago,"$3,000 - $3,500 a month","To supervise and manage all related matters with regard to the day-to-day civil activities on the project with the objective of meeting the schedule, quality,…",1.0,1.0,1,1,1,1,0
55,Copywriter / Junior Copywriter,PROTOCOL PTE. LTD.,sg.indeed.com/rc/clk?jk=00e50f67b077f45a&fccid=f86f7c40b949a605&vjs=3,Posted6 days ago,"$2,500 - $3,200 a month",Copywriting and editing support across all accounts and corporate requirements including supporting the agency where required for all animation and pre-…,1.0,1.0,0,0,0,1,0
56,Construction Security Guard,SDK CONSORTIUM,sg.indeed.com/rc/clk?jk=3ea45daee534b270&fccid=32bbae538eec4335&vjs=3,Posted8 days ago,"$3,000 - $3,300 a month","Issue relevant security pass to the different categories of personnel (eg. sub contractors, clients) for site entry.
WSQ provide guard and patrol services.",3.0,3.0,0,0,1,1,0
57,Assistant Gym Manager,REAL PERSONAL TRAINING PTE. LTD.,sg.indeed.com/rc/clk?jk=9e9ba1810e3615c0&fccid=8b281b7719c16534&vjs=3,Posted6 days ago,"$3,100 - $5,500 a month","We would love to meet you, even if you have no prior experience in a hospitality or customer-facing role, let's see how we can make this job work with your…",4.0,2.0,1,0,1,1,1
58,Aircraft Technician,ORIENTAL AVIATION INTERNATIONAL PTE. LTD.,sg.indeed.com/rc/clk?jk=e33b8b80c2079b86&fccid=bb475363a2b5bc1f&vjs=3,Posted12 days ago,"$2,200 - $3,300 a month","The ability to communicate at various levels, and to coordinate with other areas over technical issues, to ensure that all relevant parties are aware of the…",2.0,2.0,0,0,0,0,0
59,Packer,SENKO INTERNATIONAL LOGISTICS PTE. LTD.,sg.indeed.com/rc/clk?jk=4aba14c0fb2552f1&fccid=0a24684fb1fc8416&vjs=3,Posted3 days ago,"$2,500 - $3,000 a month","Able to work long hours.
Open to 12 hours shift.
If change to permanent, salary will reduce as due to other allowances.
Team B working hours 8.45PM to 6.45am.",3.0,3.0,1,1,1,1,1
60,Swab Testor / Swab Admin (Test Centres / Pre-swab Events),RECRUIT INC PRIVATE LIMITED,sg.indeed.com/rc/clk?jk=041f8c2a12eff2cd&fccid=fbc94fc99ca48e84&vjs=3,Posted8 days ago,"$2,000 - $3,000 a month","Assist with administration of swab operations at test centres/ pre-swab events.
Perform Swabbing and assist in analyse swab results at swab operations.",2.0,4.0,0,0,0,0,0
61,Electrician,PERFECT ELECTRIC & CO. PTE. LTD.,sg.indeed.com/rc/clk?jk=c3629e1d92f04535&fccid=ba71a87206f4a561&vjs=3,Posted8 days ago,"$1,800 - $3,300 a month","Identify and troubleshoot electrical faults.
Able to work independently & take instructions from Project Supervisor.
Entry level candidates are welcome.",3.0,3.0,0,0,0,0,0
62,Clinic assistant,ENT SPECIALIST CENTRE PTE. LTD.,sg.indeed.com/rc/clk?jk=26190a57edc27986&fccid=a93a10cde722aa48&vjs=3,Posted8 days ago,"$2,200 - $3,000 a month","Perform reception duties, registration, payment collection and administrative duties relating to patients.",3.0,3.0,1,1,1,1,1
